"Class","Adult.weight..g.","Sample.size","Maximum.longevity..yrs.","Specimen.origin"
"Aves",13.3,"small",NA,"unknown"
"Aves",24.8,"large",NA,"unknown"
"Aves",12.3,"medium",10,"unknown"
"Aves",9.7,"large",5.8,"wild"
"Aves",10.6,"large",3.4,"wild"
"Aves",11.45,"large",23.4,"wild"
"Aves",14,"large",6,"wild"
"Aves",14.95,"tiny",NA,"unknown"
"Aves",13.375,"medium",6.9,"wild"
"Aves",14,"medium",4.5,"wild"
"Aves",17.6,"medium",5.4,"wild"
"Aves",13,"medium",5.2,"wild"
"Aves",9.5,"large",5.4,"wild"
"Aves",12,"large",12,"unknown"
"Aves",14.2,"medium",12.2,"wild"
"Aves",19.25,"medium",6.8,"wild"
"Aves",16,"medium",27,"unknown"
